name;unitDetalPrice;basicDiscount;additionalDiscount;promotionDiscount;skontoDiscount
Dachówka podstawowa;49.40;0;0;0;3
Dachówka krawędziowa lewa;44.70;0;0;0;3
Dachówka krawędziowa prawa;44.70;0;0;0;3
Dachówka wentylacyjna;48.70;0;0;0;3
Kominewk wentylacyjny 100 komplet;294.00;0;0;0;3
Kominewk wentylacyjny 125 komplet;350.00;0;0;0;3
Gąsior podstawowy PT;34.50;0;0;0;3
Klamra gąsiora podstawowego PT;1.00;0;0;0;3
Gąsior pocztątkowy zaokrąglony PT;116.20;0;0;0;3
Zaślepka systemowa końcowa/początkowa PT;119.80;0;0;0;3
Trójnik PT;461.00;0;0;0;3
Czwórnik PT;154.90;0;0;0;3
